Country Name,Country Code,AVG GDP 2011-2013 Constant 2010,GDP Flag
Aruba,ABW,2484429151,
Afghanistan,AFG,17613180372,
Angola,AGO,93201224173,
Albania,ALB,12387551842,
Andorra,AND,3169006038,
Arab World,ARB,2.31E+12,
United Arab Emirates,ARE,3.25E+11,
Argentina,ARG,4.50E+11,
Armenia,ARM,10275232762,
American Samoa,ASM,555700440.5,
Antigua and Barbuda,ATG,1154484942,
Australia,AUS,1.22E+12,
Austria,AUT,4.05E+11,
Azerbaijan,AZE,53871710714,
Burundi,BDI,2212998150,
Belgium,BEL,4.93E+11,
Benin,BEN,7587476371,
Burkina Faso,BFA,10183767857,
Bangladesh,BGD,1.31E+11,
Bulgaria,BGR,51674789044,
Bahrain,BHR,27366992970,
"Bahamas, The",BHS,10352334052,
Bosnia and Herzegovina,BIH,17381283267,
Belarus,BLR,62726115348,
Belize,BLZ,1459055920,
Bermuda,BMU,5329387533,
Bolivia,BOL,21870425094,
Brazil,BRA,2.35E+12,
Barbados,BRB,4568359074,
Brunei Darussalam,BRN,14205598338,
Bhutan,BTN,1781253894,
Botswana,BWA,14498441943,
Central African Republic,CAF,2023978787,
Canada,CAN,1.70E+12,
Central Europe and the Baltics,CEB,1.37E+12,
Switzerland,CHE,6.01E+11,
Channel Islands,CHI,NaN,
Chile,CHL,2.43E+11,
China,CHN,7.20E+12,
Cote d'Ivoire,CIV,26271500761,
Cameroon,CMR,28560610703,
"Congo, Dem. Rep.",COD,24835062186,
"Congo, Rep.",COG,12881074562,
Colombia,COL,3.20E+11,
Comoros,COM,979046097.2,
Cabo Verde,CPV,1747526673,
Costa Rica,CRI,40425100191,
Caribbean small states,CSS,64822966560,
Cuba,CUB,68083776069,
Curacao,CUW,NaN,
Cayman Islands,CYM,NaN,
Cyprus,CYP,24691081678,
Czech Republic,CZE,2.10E+11,
Germany,DEU,3.56E+12,
Djibouti,DJI,1128611700,Closest Entry
Dominica,DMA,488254424.8,
Denmark,DNK,3.28E+11,
Dominican Republic,DOM,57612316262,
Algeria,DZA,1.71E+11,
East Asia & Pacific (excluding high income),EAP,9.18E+12,
Early-demographic dividend,EAR,9.36E+12,
East Asia & Pacific,EAS,1.86E+13,
Europe & Central Asia (excluding high income),ECA,3.41E+12,
Europe & Central Asia,ECS,2.16E+13,
Ecuador,ECU,79157005576,
"Egypt, Arab Rep.",EGY,2.28E+11,
Euro area,EMU,1.28E+13,
Eritrea,ERI,2300794306,Missing Value
Spain,ESP,1.38E+12,
Estonia,EST,21715132002,
Ethiopia,ETH,36473972973,
European Union,EUU,1.73E+13,
Fragile and conflict affected situations,FCS,6.74E+11,
Finland,FIN,2.51E+11,
Fiji,FJI,3307430255,
France,FRA,2.71E+12,
Faroe Islands,FRO,2320424601,Closest Entry
"Micronesia, Fed. Sts.",FSM,298522621.1,
Gabon,GAB,16219355019,
United Kingdom,GBR,2.53E+12,
Georgia,GEO,13157156483,
Ghana,GHA,39945238709,
Gibraltar,GIB,#DIV/0!,
Guinea,GIN,7624157559,
"Gambia, The",GMB,960286982.8,
Guinea-Bissau,GNB,917005001.2,
Equatorial Guinea,GNQ,18064940923,
Greece,GRC,2.56E+11,
Grenada,GRD,776947507.7,
Greenland,GRL,2502948620,
Guatemala,GTM,44458055990,
Guam,GUM,4997626853,
Guyana,GUY,2517428640,
High income,HIC,4.68E+13,
"Hong Kong SAR, China",HKG,2.45E+11,
Honduras,HND,16940800599,
Heavily indebted poor countries (HIPC),HPC,5.24E+11,
Croatia,HRV,58651694677,
Haiti,HTI,7224242930,
Hungary,HUN,1.33E+11,
IBRD only,IBD,2.23E+13,
IDA & IBRD total,IBT,2.39E+13,
IDA total,IDA,1.61E+12,
IDA blend,IDB,7.84E+11,
Indonesia,IDN,8.50E+11,
IDA only,IDX,8.21E+11,
Isle of Man,IMN,6260881546,
India,IND,1.87E+12,
Not classified,INX,NaN,
Ireland,IRL,2.32E+11,
"Iran, Islamic Rep.",IRN,4.75E+11,
Iraq,IRQ,1.67E+11,
Iceland,ISL,14256249786,
Israel,ISR,2.52E+11,
Italy,ITA,2.09E+12,
Jamaica,JAM,13395456528,
Jordan,JOR,27983378478,
Japan,JPN,5.79E+12,
Kazakhstan,KAZ,1.67E+11,
Kenya,KEN,44604242955,
Kyrgyz Republic,KGZ,5257351060,
Cambodia,KHM,12940692506,
Kiribati,KIR,165927597.8,
St. Kitts and Nevis,KNA,791178957.9,
"Korea, Rep.",KOR,1.16E+12,
Kuwait,KWT,1.33E+11,
Latin America & Caribbean (excluding high income),LAC,5.26E+12,
Lao PDR,LAO,8335383864,
Lebanon,LBN,39823021338,
Liberia,LBR,2344797560,
Libya,LBY,48767867921,
St. Lucia,LCA,1444410834,
Latin America & Caribbean,LCN,5.74E+12,
Least developed countries: UN classification,LDC,7.35E+11,
Low income,LIC,3.98E+11,
Liechtenstein,LIE,5082366478,Closest Entry
Sri Lanka,LKA,66001970364,
Lower middle income,LMC,4.94E+12,
Low & middle income,LMY,2.31E+13,
Lesotho,LSO,2641994289,
Late-demographic dividend,LTE,1.52E+13,
Lithuania,LTU,40844673312,
Luxembourg,LUX,55097744697,
Latvia,LVA,26166081390,
"Macao SAR, China",MAC,37721513855,
St. Martin (French part),MAF,NaN,
Morocco,MAR,1.02E+11,
Monaco,MCO,5964679912,
Moldova,MDA,7572947465,
Madagascar,MDG,9104262103,
Maldives,MDV,2926969186,
Middle East & North Africa,MEA,2.97E+12,
Mexico,MEX,1.13E+12,
Marshall Islands,MHL,172455075.1,
Middle income,MIC,2.27E+13,
North Macedonia,MKD,9691453087,
Mali,MLI,11047257198,
Malta,MLT,9154017317,
Myanmar,MMR,56445041593,
Middle East & North Africa (excluding high income),MNA,1.40E+12,
Montenegro,MNE,4244406826,
Mongolia,MNG,9492961412,
Northern Mariana Islands,MNP,746129859.4,
Mozambique,MOZ,11676511902,
Mauritania,MRT,4814862594,
Mauritius,MUS,10774942504,
Malawi,MWI,7518100010,
Malaysia,MYS,2.83E+11,
North America,NAC,1.73E+13,
Namibia,NAM,12489840239,
New Caledonia,NCL,NaN,
